HostID,VerificationMediumID
450548,HV_009
450548,HV_015
450548,HV_006
450548,HV_001
453540,HV_017
453540,HV_007
453540,HV_015
453540,HV_006
453540,HV_001
457358,HV_016
457358,HV_008
457358,HV_015
457358,HV_006
457358,HV_001
466499,HV_015
466499,HV_006
466499,HV_001
468703,HV_016
468703,HV_008
468703,HV_015
468703,HV_006
468703,HV_001
469819,HV_016
469819,HV_015
469819,HV_006
469819,HV_001
471246,HV_016
471246,HV_015
471246,HV_006
471246,HV_001
476303,HV_008
476303,HV_015
476303,HV_006
476303,HV_001
486018,HV_008
486018,HV_015
486018,HV_006
486018,HV_001
504978,HV_016
504978,HV_017
504978,HV_007
504978,HV_009
504978,HV_015
504978,HV_006
504978,HV_001
512084,HV_016
512084,HV_008
512084,HV_015
512084,HV_006
512084,HV_001
512103,HV_008
512103,HV_009
512103,HV_015
512103,HV_006
512103,HV_001
527224,HV_008
527224,HV_015
527224,HV_006
527224,HV_001
534305,HV_008
534305,HV_015
534305,HV_006
534305,HV_001
534587,HV_016
534587,HV_008
534587,HV_015
534587,HV_006
534587,HV_001
539515,HV_016
539515,HV_008
539515,HV_015
539515,HV_006
539515,HV_001
541406,HV_015
541406,HV_006
541406,HV_001
541908,HV_016
541908,HV_017
541908,HV_008
541908,HV_009
541908,HV_015
541908,HV_006
541908,HV_001
554458,HV_007
554458,HV_008
554458,HV_015
554458,HV_006
554458,HV_001
555957,HV_015
555957,HV_006
555957,HV_013
555957,HV_001
558743,HV_016
558743,HV_008
558743,HV_015
558743,HV_006
558743,HV_001
559827,HV_017
559827,HV_008
559827,HV_015
559827,HV_006
559827,HV_001
560743,HV_016
560743,HV_008
560743,HV_009
560743,HV_015
560743,HV_006
560743,HV_001
561271,HV_016
561271,HV_006
561271,HV_001
566102,HV_016
566102,HV_008
566102,HV_015
566102,HV_006
566102,HV_001
579854,HV_008
579854,HV_015
579854,HV_006
579854,HV_001
583579,HV_016
583579,HV_017
583579,HV_008
583579,HV_015
583579,HV_006
583579,HV_001
584774,HV_016
584774,HV_008
584774,HV_015
584774,HV_006
584774,HV_001
586610,HV_016
586610,HV_008
586610,HV_015
586610,HV_006
586610,HV_001
587302,HV_008
587302,HV_015
587302,HV_006
587302,HV_001
589855,HV_016
589855,HV_017
589855,HV_008
589855,HV_015
589855,HV_006
589855,HV_001
594315,HV_016
594315,HV_015
594315,HV_006
594315,HV_001
595074,HV_017
595074,HV_008
595074,HV_015
595074,HV_006
595074,HV_001
595263,HV_016
595263,HV_007
595263,HV_010
595263,HV_015
595263,HV_006
595263,HV_001
595610,HV_008
595610,HV_015
595610,HV_006
595610,HV_001
597729,HV_015
597729,HV_006
597729,HV_001
598892,HV_016
598892,HV_007
598892,HV_015
598892,HV_006
598892,HV_001
601236,HV_016
601236,HV_008
