ListingID,AmenityID
2809796,AM_023
2825852,AM_023
2836237,AM_023
2856806,AM_023
2858482,AM_023
2865992,AM_023
2875975,AM_023
2881446,AM_023
2882641,AM_023
2897897,AM_023
2898401,AM_023
2905375,AM_023
2906694,AM_023
2909809,AM_023
2919571,AM_023
2923529,AM_023
2931922,AM_023
2933877,AM_023
2934389,AM_023
2935486,AM_023
2943860,AM_023
2944021,AM_023
2950213,AM_023
2955782,AM_023
2958318,AM_023
2966415,AM_023
2969955,AM_023
2970666,AM_023
2976798,AM_023
2978929,AM_023
2979387,AM_023
2986056,AM_023
2989758,AM_023
2994309,AM_023
2995996,AM_023
3004007,AM_023
3005854,AM_023
3022564,AM_023
3024336,AM_023
3025456,AM_023
3031415,AM_023
3033913,AM_023
3038772,AM_023
3040278,AM_023
3041619,AM_023
3052151,AM_023
3053237,AM_023
3061918,AM_023
3076065,AM_023
3085726,AM_023
3096191,AM_023
3120652,AM_023
3121829,AM_023
3123041,AM_023
3123632,AM_023
3124383,AM_023
3124961,AM_023
3139847,AM_023
3139972,AM_023
3143175,AM_023
3144311,AM_023
3146212,AM_023
3155785,AM_023
3158243,AM_023
3168651,AM_023
3186785,AM_023
3193738,AM_023
3206305,AM_023
3208330,AM_023
3208667,AM_023
3209633,AM_023
3209964,AM_023
3215404,AM_023
3226793,AM_023
3231850,AM_023
3238295,AM_023
3242605,AM_023
3245876,AM_023
3246706,AM_023
3251016,AM_023
3254956,AM_023
3258213,AM_023
3258386,AM_023
3258585,AM_023
3263071,AM_023
3263722,AM_023
3265292,AM_023
3269390,AM_023
3270492,AM_023
3273240,AM_023
3281072,AM_023
3282000,AM_023
3291295,AM_023
3291777,AM_023
3294804,AM_023
3303376,AM_023
3303857,AM_023
3308825,AM_023
3308979,AM_023
3312406,AM_023
3316219,AM_023
3319386,AM_023
3329962,AM_023
3334052,AM_023
3344977,AM_023
3345341,AM_023
3352685,AM_023
3354614,AM_023
3354761,AM_023
3372535,AM_023
3379116,AM_023
3380159,AM_023
3382533,AM_023
3383329,AM_023
3385421,AM_023
